,City,Direct_flights_count
457,Comox,7
458,Coppermine,5
459,Coral Harbour,6
460,Cranbrook,4
461,Dawson Creek,2
462,Deer Lake,8
463,Deline,2
464,Dryden,4
465,Eastmain River,2
466,Edmonton,68
467,Eskimo Point,7
468,Flin Flon,4
469,Fort Albany,2
470,Fort Chipewyan,2
471,Fort Frances,2
472,Fort Good Hope,2
473,Fort Hope,3
474,Fort Mcmurray,12
475,Fort Mcpherson,1
476,Fort Nelson,3
477,Fort Saint John,6
478,Fort Severn,3
479,Fort Simpson,2
480,Fort Smith,4
481,Fredericton,4
482,Gamètì,1
483,Gander,3
484,Gaspe,2
485,Gillam,2
486,Gjoa Haven,4
487,Goose Bay,15
488,Grande Prairie,4
489,Grise Fiord,1
490,Halifax,43
491,Hall Beach,4
492,Hamilton,4
493,Havre-Saint-Pierre,3
494,Hay River,3
495,High Level,2
496,Holman Island,3
497,Hopedale,4
498,Igloolik,5
499,Iles De La Madeleine,3
500,Inukjuak,3
501,Inuvik,8
502,Iqaluit,18
503,Ivujivik,2
504,Kamloops,5
505,Kangiqsualujjuaq,1
506,Kangiqsujuaq,2
507,Kangirsuk,3
508,Kapuskasing,2
509,Kasabonika,2
510,Kashechewan,2
511,Keewaywin,1
512,Kegaska,2
513,Kelowna,15
514,Kenora,3
515,Kimmirut,1
516,Kingfisher Lake,2
517,Kingston,1
518,Kuujjuarapik,7
519,La Grande Riviere,3
520,La Romaine,6
521,La Tabatière,2
522,Lansdowne House,2
523,Lethbridge,1
524,Lloydminster,1
525,London,6
526,Lourdes-De-Blanc-Sablon,3
527,Lutselk'e,1
528,Makkovik,4
529,Masset,1
530,Medicine Hat,1
531,Moncton,10
532,Mont Joli,8
533,Montreal,189
534,Moosonee,3
535,Muskrat Dam,4
536,Nain,4
537,Nanaimo,2
538,Natashquan,6
539,Natuashish,4
540,Nemiscau,2
541,Norman Wells,6
542,North Bay,2
543,North Spirit Lake,2
544,Ogoki Post,1
545,Ottawa,45
546,Pangnirtung,4
547,Paulatuk,1
548,Peawanuck,1
549,Penticton,1
550,Pickle Lake,1
551,Pikangikum,5
552,Pond Inlet,3
553,Poplar Hill,2
554,Port Hardy,2
555,Port Menier,2
556,Postville,4
557,Powell River,1
558,Prince George,10
559,Prince Pupert,2
560,Puvirnituq,4
