,Source_airport,Destination_airport
3197,YGJ,8
3198,YGK,1
3199,YGL,3
3200,YGP,2
3201,YGR,3
3202,YGT,5
3203,YGV,3
3204,YGW,7
3205,YGX,2
3206,YGZ,1
3207,YHD,4
3208,YHI,3
3209,YHK,4
3210,YHM,4
3211,YHO,4
3212,YHP,2
3213,YHR,4
3214,YHU,4
3215,YHY,3
3216,YHZ,43
3217,YIC,6
3218,YIE,1
3219,YIF,4
3220,YIH,24
3221,YIK,2
3222,YIN,4
3223,YIO,3
3224,YIW,18
3225,YJT,1
3226,YKA,5
3227,YKF,3
3228,YKG,3
3229,YKL,5
3230,YKM,1
3231,YKQ,6
3232,YKS,38
3233,YKT,1
3234,YKU,4
3235,YLC,1
3236,YLE,1
3237,YLH,2
3238,YLL,1
3239,YLW,15
3240,YMM,12
3241,YMN,4
3242,YMO,3
3243,YMT,3
3244,YNA,6
3245,YNB,9
3246,YNC,2
3247,YNG,4
3248,YNJ,14
3249,YNO,2
3250,YNP,4
3251,YNS,2
3252,YNT,56
3253,YNY,1
3254,YNZ,17
3255,YOG,1
3256,YOJ,2
3257,YOL,1
3258,YOP,2
3259,YOW,45
3260,YPC,1
3261,YPH,3
3262,YPJ,3
3263,YPL,1
3264,YPM,5
3265,YPN,2
3266,YPO,1
3267,YPR,2
3268,YPW,1
3269,YPX,4
3270,YPY,2
3271,YQB,28
3272,YQC,2
3273,YQD,5
3274,YQF,3
3275,YQG,3
3276,YQK,3
3277,YQL,1
3278,YQM,10
3279,YQQ,7
3280,YQR,16
3281,YQT,13
3282,YQU,4
3283,YQX,3
3284,YQY,2
3285,YQZ,4
3286,YRA,1
3287,YRB,2
3288,YRG,2
3289,YRL,7
3290,YRT,24
3291,YSB,6
3292,YSG,1
3293,YSJ,3
3294,YSK,3
3295,YSM,4
3296,YSO,4
3297,YSY,2
3298,YTE,3
3299,YTH,6
3300,YTL,4
3301,YTQ,2
3302,YTS,5
3303,YTY,18
3304,YTZ,14
3305,YUB,1
3306,YUD,3
3307,YUL,185
3308,YUM,3
3309,YUS,2
3310,YUT,3
3311,YUX,4
3312,YUY,5
3313,YVB,3
3314,YVM,2
3315,YVO,7
3316,YVP,10
3317,YVQ,6
3318,YVR,157
3319,YVZ,1
3320,YWB,2
3321,YWG,41
3322,YWH,2
3323,YWJ,2
3324,YWK,16
3325,YWL,5
3326,YWP,2
3327,YXC,4
3328,YXE,15
3329,YXH,1
3330,YXJ,6
3331,YXL,18
3332,YXN,5
3333,YXP,4
3334,YXS,10
3335,YXT,5
3336,YXU,6
3337,YXX,2
3338,YXY,5
3339,YYB,2
3340,YYC,115
3341,YYD,4
3342,YYE,3
3343,YYF,1
3344,YYG,4
3345,YYH,4
3346,YYJ,13
3347,YYQ,8
3348,YYR,15
3349,YYT,22
3350,YYU,2
3351,YYY,8
3352,YYZ,319
3353,YZF,30
3354,YZG,2
3355,YZP,1
3356,YZR,1
3357,YZS,6
3358,YZT,2
3359,YZV,22
3360,YZY,3
3361,YZZ,1
3362,ZAD,26
3363,ZAG,42
3364,ZAH,11
3365,ZAL,2
3366,ZAM,6
3367,ZAT,3
3368,ZAZ,8
3369,ZBF,1
3370,ZBL,1
3371,ZBR,6
3372,ZCL,7
3373,ZCO,3
3374,ZDY,1
3375,ZEL,3
3376,ZEM,2
3377,ZFM,1
3378,ZFN,2
3379,ZGS,6
3380,ZGU,3
3381,ZHA,19
3382,ZHY,2
3383,ZIG,2
3384,ZIH,9
3385,ZKE,2
3386,ZKG,2
3387,ZLO,7
3388,ZLT,2
3389,ZMT,1
3390,ZNE,2
3391,ZNZ,11
3392,ZOS,1
3393,ZPB,2
3394,ZQN,7
3395,ZQW,5
3396,ZQZ,2
3397,ZRH,247
3398,ZRJ,2
3399,ZSA,4
3400,ZSE,3
3401,ZSJ,3
3402,ZTB,2
3403,ZTH,16
3404,ZUH,60
3405,ZUM,2
3406,ZVK,3
3407,ZYI,15
3408,ZYL,4
