,Source_airport,Destination_airport
521,CJJ,9
522,CJL,2
523,CJM,1
524,CJS,12
525,CJU,59
526,CKB,3
527,CKD,2
528,CKG,270
529,CKH,2
530,CKS,4
531,CKX,1
532,CKY,18
533,CKZ,1
534,CLD,1
535,CLE,81
536,CLJ,21
537,CLL,3
538,CLM,1
539,CLO,30
540,CLQ,3
541,CLT,301
542,CLV,2
543,CLY,20
544,CMA,2
545,CMB,101
546,CME,3
547,CMG,1
548,CMH,63
549,CMI,4
550,CMN,125
551,CMU,1
552,CMW,3
553,CMX,1
554,CND,1
555,CNF,55
556,CNJ,5
557,CNM,1
558,CNP,2
559,CNS,56
560,CNX,48
561,CNY,1
562,COD,2
563,COK,59
564,COO,41
565,COQ,4
566,COR,13
567,COS,13
568,COU,4
569,CPC,1
570,CPD,1
571,CPE,2
572,CPH,229
573,CPO,4
574,CPR,3
575,CPT,44
576,CPV,2
577,CPX,1
578,CRA,2
579,CRD,6
580,CRI,2
581,CRK,13
582,CRL,84
583,CRM,2
584,CRP,5
585,CRW,6
586,CSG,3
587,CSH,1
588,CSK,1
589,CSX,189
590,CSY,2
591,CTA,115
592,CTC,1
593,CTG,12
594,CTL,4
595,CTM,1
596,CTS,81
597,CTU,324
598,CUC,4
599,CUE,3
600,CUF,5
601,CUK,6
602,CUL,16
603,CUM,1
604,CUN,157
605,CUQ,1
606,CUR,31
607,CUU,16
608,CUZ,11
609,CVG,75
610,CVM,2
611,CVU,2
612,CWA,5
613,CWB,43
614,CWL,32
615,CXB,3
616,CXF,1
617,CXH,1
618,CXI,4
619,CXJ,3
620,CXR,7
621,CYB,2
622,CYF,3
623,CYO,3
624,CYP,1
625,CYS,6
626,CYX,2
627,CYZ,1
628,CZE,1
629,CZH,3
630,CZL,16
631,CZM,16
632,CZS,1
633,CZU,2
634,CZX,37
635,DAB,5
636,DAC,74
637,DAD,33
638,DAL,39
639,DAR,35
640,DAT,11
641,DAU,4
642,DAV,2
643,DAX,9
644,DAY,32
645,DBA,1
646,DBO,3
647,DBQ,2
648,DBV,60
649,DCA,196
650,DCM,3
651,DCN,2
652,DCY,4
653,DDC,6
654,DDG,5
655,DEA,2
656,DEB,2
657,DEC,2
658,DED,5
659,DEE,1
660,DEF,1
661,DEL,264
662,DEN,361
663,DFW,469
664,DGA,7
665,DGO,5
666,DGT,4
667,DHB,2
668,DHI,1
669,DHM,2
670,DHN,3
671,DIB,6
672,DIE,5
673,DIG,7
674,DIJ,1
675,DIK,2
676,DIL,4
677,DIN,1
678,DIR,3
679,DIU,2
680,DIW,1
681,DIY,7
682,DJB,6
683,DJE,37
684,DJG,2
685,DJJ,17
686,DKR,67
687,DLA,51
688,DLC,142
689,DLE,3
690,DLG,3
691,DLH,4
692,DLI,5
693,DLM,57
694,DLU,7
695,DLY,2
696,DMB,4
697,DMD,3
698,DME,324
699,DMK,67
700,DMM,82
701,DMU,2
702,DND,1
703,DNH,7
704,DNK,14
705,DNR,3
706,DNZ,2
707,DOB,1
708,DOH,189
709,DOK,15
710,DOL,2
711,DOM,17
712,DOU,3
713,DOY,6
714,DPL,4
715,DPO,1
716,DPS,100
717,DQA,5
718,DRG,4
719,DRK,3
720,DRO,5
721,DRS,22
722,DRV,2
723,DRW,46
724,DSA,9
725,DSK,2
726,DSM,29
727,DSN,25
728,DTM,33
729,DTW,216
730,DUB,207
731,DUD,4
732,DUJ,2
733,DUR,21
734,DUS,285
735,DUT,3
736,DVO,14
737,DWC,48
738,DWD,2
739,DXB,356
740,DYG,21
741,DYR,2
742,DYU,52
743,DZA,15
744,DZN,2
745,EAE,1
746,EAM,3
747,EAR,1
748,EAS,3
749,EAT,1
750,EAU,1
751,EBA,5
752,EBB,34
753,EBH,1
754,EBJ,2
755,EBL,30
756,EBU,5
757,ECN,14
758,ECP,7
759,EDA,1
760,EDI,119
761,EDL,3
762,EDO,1
763,EDR,2
764,EEK,3
765,EFL,6
766,EGC,11
767,EGE,1
768,EGM,4
769,EGN,2
770,EGO,11
771,EGS,1
772,EGX,1
773,EIN,68
774,EIS,12
775,EJA,1
776,EJH,1
777,EKO,1
778,EKS,1
779,ELC,1
780,ELD,2
781,ELF,2
782,ELG,2
783,ELH,8
